State,Production_Share_%,Yield_FFB_tonnes_ha,Rainfall_mm,Land_Cost_Naira_ha,Data_Quality,Yield_Source,CPO_Yield_tonnes_ha,CPO_Price_Naira,Revenue_per_ha,Operating_Cost_per_ha,Land_Cost_Annual,Total_Cost_per_ha,Profit_per_ha,Area_for_1B_profit_ha,Land_Acquisition,Establishment_Cost,Mill_Infrastructure,Working_Capital_3yrs,Total_Investment_Naira,Annual_Profit_at_1B,ROI_percent
Edo,12,16.0,2200,400000,HIGH-Actual,Okomu 2024 Report,3.2,1100000,3520000.0,660000,16000.0,676000.0,2844000.0,351.6174402250352,140646976.09001407,52742616.03375528,50000000,696202531.6455697,939592123.7693391,1000000000,106.42915949404983
Cross_River,11,14.0,2500,350000,MEDIUM-Proxy,"Proxy: Edo×0.875 (high rain, poor infra)",2.8000000000000003,1100000,3080000.0000000005,680000,14000.0,694000.0,2386000.0000000005,419.11148365465203,146689019.27912822,62866722.548197806,50000000,854987426.6554902,1114543168.4828162,1000000000,89.72285939909
Ondo,11,15.0,2000,400000,MEDIUM-Proxy,Proxy: Edo×0.9375 (similar to Presco),3.0,1100000,3300000.0,670000,16000.0,686000.0,2614000.0,382.55547054322875,153022188.2172915,57383320.58148431,50000000,768936495.7918898,1029342004.5906656,1000000000,97.1494406659977
