State,Price_per_hectare_Naira,Source,Date,Notes
Edo,400000,https://nigeriapropertycentre.com/for-sale/land/edo/showtype,Dec-2024,Average of listings
Cross_River,350000,Estimated,Dec-2024,10% lower than Edo
Ondo,400000,Similar to Edo,Dec-2024,Comparable development with Edo
