Product , Price_per_tonne_Naira,Date,Source_URL,Notes
Palm Oil,2473500,Dec-2024,https://nifor.org/economics-industry/,Industry average
Palm Kernel,1540000,Dec-2024,"https://www.indexbox.io/store/nigeria-palm-kernel-and-babassu-oil-market-report-analysis-and-forecast-to-2020/#:~:text=The%20average%20palm%20kernel%20oil%20import%20price%20stood%20at%20$1%2C104,at%20a%20somewhat%20lower%20figure.",By-Product; Converted dollar to Naira
